id,rz,sx,x,cx,reset,measure,u1,u3,u2,Machine,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,46,8,0,20,0,5,-1,-1,-1,2,3.2,5,0.732421875,0.29296874989,2.918201226543806,9
0,46,8,0,20,0,5,-1,-1,-1,3,3.2,5,0.796875,0.259765624895,2.7782789434478423,10
0,46,8,0,20,0,5,-1,-1,-1,5,3.2,5,0.560546875,0.488281249895,3.268651158169459,9
0,-1,-1,-1,20,-1,5,30,0,8,7,3.2,5,0.6796875,0.357421874895,3.0462705679276376,7
0,-1,-1,-1,20,-1,5,30,0,8,11,3.2,5,0.6650390625,0.3554687499,3.0408495080134346,7
0,46,8,0,20,0,5,-1,-1,-1,18,3.2,5,0.8349609375,0.1855468749,2.604956531723499,8
0,-1,-1,-1,20,-1,5,30,0,8,19,3.2,5,0.71875,0.293945312395,2.9065373849830447,10
0,46,8,0,20,0,5,-1,-1,-1,21,3.2,5,0.8193359375,0.220703124905,2.6256348381176413,9
0,46,8,0,20,-1,5,-1,-1,-1,26,3.2,5,0.8837890625,0.164062499915,2.557399619790074,6
0,46,8,0,20,0,5,-1,-1,-1,29,3.2,5,0.578125,0.464843749895,3.180175365928261,7
0,46,8,0,20,0,5,-1,-1,-1,31,3.2,5,0.84765625,0.1718749999,2.6590496647291273,9
0,46,8,0,20,0,5,-1,-1,-1,33,3.2,5,0.931640625,0.12304687490999999,2.434907087898133,9
0,-1,-1,-1,20,-1,5,30,0,8,36,2.4,5,0.5302734375,0.549804687395,3.3606311486404987,5
0,46,8,0,20,-1,5,-1,-1,-1,39,3.2,5,0.8310546875,0.218749999895,2.745432953386585,9
0,46,8,0,20,-1,5,-1,-1,-1,40,3.2,5,0.8310546875,0.21386718741,2.727530994276272,7
0,46,8,0,20,0,5,-1,-1,-1,42,4.8,5,0.6630859375,0.434570312395,2.8851993703280456,6
0,46,8,0,20,0,5,-1,-1,-1,10,3.4285714285714284,7,0.7890625,0.265624999895,2.8735530583081315,8
0,46,8,0,20,0,5,-1,-1,-1,14,3.4285714285714284,7,0.802734375,0.235351562395,2.8251778920672033,11
0,46,8,0,20,0,5,-1,-1,-1,17,3.4285714285714284,7,0.900390625,0.1376953124,2.5404321051189473,8
0,46,8,0,20,0,5,-1,-1,-1,25,3.4285714285714284,7,0.86328125,0.1757812499,2.669330686152648,11
0,-1,-1,-1,20,-1,5,30,0,8,22,2.5714285714285716,14,0.7275390625,0.328124999895,2.9425790742345557,9
0,46,8,0,20,0,5,-1,-1,-1,12,4.0,16,0.8017578125,0.221679687405,2.7482770904726306,8
0,-1,-1,-1,20,-1,5,30,0,8,32,2.75,16,1.0,0.037109375,2.1261773980267407,8
0,-1,-1,-1,20,-1,5,30,0,8,0,4.6,20,0.6015625,0.444335937395,3.100859216931701,9
0,-1,-1,-1,20,-1,5,30,0,8,4,4.6,20,0.7880859375,0.242187499895,2.7740705239956225,9
0,-1,-1,-1,20,-1,5,30,0,8,15,4.6,20,0.716796875,0.348632812395,3.025803194604273,9
0,-1,-1,-1,20,-1,5,30,0,8,28,4.6,20,0.6826171875,0.349609374895,3.0214626660347315,9
0,-1,-1,-1,20,-1,5,30,0,8,34,4.6,20,0.7255859375,0.321289062395,2.9856006654728153,9
0,-1,-1,-1,20,-1,5,30,0,8,37,7.0,20,0.5986328125,0.463867187395,3.2178630915387276,12
0,46,8,0,20,0,5,-1,-1,-1,8,4.148148148148148,27,0.8310546875,0.2187499999,2.7257185476562578,9
0,46,8,0,20,0,5,-1,-1,-1,13,4.148148148148148,27,0.888671875,0.13574218741,2.5436610499662162,8
0,46,8,0,20,0,5,-1,-1,-1,16,4.148148148148148,27,0.8681640625,0.161132812405,2.6024963090222406,8
0,46,8,0,20,0,5,-1,-1,-1,23,4.148148148148148,27,0.8642578125,0.21289062492,2.614620128796283,9
0,46,8,0,20,0,5,-1,-1,-1,24,4.148148148148148,27,0.734375,0.321289062395,2.9953048370690927,8
0,46,8,0,20,0,5,-1,-1,-1,27,4.148148148148148,27,0.6357421875,0.390624999895,3.1105240313482634,8
0,46,8,0,20,0,5,-1,-1,-1,35,4.148148148148148,27,0.8681640625,0.152343749915,2.565663051699141,8
0,46,8,0,20,0,5,-1,-1,-1,38,4.148148148148148,27,0.58203125,0.460937499905,2.8677427620518032,9
0,-1,-1,-1,20,-1,5,30,0,8,9,4.285714285714286,28,0.625,0.432617187395,3.1802897123613687,9
0,-1,-1,-1,20,-1,5,30,0,8,30,4.377358490566038,53,0.49609375,0.575195312395,3.3545222848627287,9
0,46,8,0,20,0,5,-1,-1,-1,6,4.430769230769231,65,0.8564453125,0.175781249915,2.6105950636090807,9
0,46,8,0,20,0,5,-1,-1,-1,20,4.430769230769231,65,0.39453125,0.626953124895,3.345348717451597,9
0,46,8,0,20,0,5,-1,-1,-1,41,4.47244094488189,127,0.6826171875,0.342773437395,3.071718077112012,9
0,21,3,0,19,0,6,-1,-1,-1,10,3.4285714285714284,7,0.802734375,0.20312499980999998,2.821897115843914,12
0,21,3,0,19,0,6,-1,-1,-1,14,3.4285714285714284,7,0.8408203125,0.18066406232999999,2.702528926600201,12
0,21,3,0,19,0,6,-1,-1,-1,17,3.4285714285714284,7,0.8720703125,0.16210937484,2.5995247835433974,13
0,21,3,0,19,0,6,-1,-1,-1,25,3.4285714285714284,7,0.849609375,0.162109374835,2.67853262886178,13
0,-1,-1,-1,19,-1,6,15,0,3,22,2.5714285714285716,14,0.7197265625,0.28613281229,3.01562836847613,18
0,21,3,0,19,0,6,-1,-1,-1,12,4.0,16,0.8291015625,0.21191406230499998,2.7471596874801834,14
0,-1,-1,-1,19,-1,6,15,0,3,32,2.75,16,1.0,0.0244140625,2.0783396207947304,16
0,-1,-1,-1,19,-1,6,15,0,3,0,4.6,20,0.869140625,0.20214843732499999,2.5645561656792806,12
0,-1,-1,-1,19,-1,6,15,0,3,4,4.6,20,0.8056640625,0.20507812482499999,2.7862246999019162,12
0,-1,-1,-1,19,-1,6,15,0,3,15,4.6,20,0.7470703125,0.261718749795,2.961938405126382,13
0,-1,-1,-1,19,-1,6,15,0,3,28,4.6,20,0.6962890625,0.32617187477,3.084946589317934,13
0,-1,-1,-1,19,-1,6,15,0,3,34,4.6,20,0.671875,0.328124999765,3.1698726702925657,15
0,-1,-1,-1,19,-1,6,15,0,3,37,7.0,20,0.853515625,0.152343749835,2.65513603626192,19
0,21,3,0,19,0,6,-1,-1,-1,8,4.148148148148148,27,0.763671875,0.23632812479499998,2.9428289289866347,16
0,21,3,0,19,0,6,-1,-1,-1,13,4.148148148148148,27,0.8818359375,0.12499999985499999,2.5500692837592607,11
0,21,3,0,19,0,6,-1,-1,-1,16,4.148148148148148,27,0.8671875,0.18164062484,2.6006056136755276,11
0,21,3,0,19,0,6,-1,-1,-1,23,4.148148148148148,27,0.888671875,0.11914062486999999,2.5285514902093804,11
0,21,3,0,19,0,6,-1,-1,-1,24,4.148148148148148,27,0.6416015625,0.35839843725,3.288935218848973,14
0,21,3,0,19,0,6,-1,-1,-1,27,4.148148148148148,27,0.6240234375,0.37597656228,3.235025796967015,16
0,21,3,0,19,0,6,-1,-1,-1,35,4.148148148148148,27,0.890625,0.125976562385,2.508802636239676,14
0,21,3,0,19,0,6,-1,-1,-1,38,4.148148148148148,27,0.80078125,0.49218749984,2.288160840193396,16
0,-1,-1,-1,19,-1,6,15,0,3,9,4.285714285714286,28,0.5205078125,0.47949218726,3.42514559687519,13
0,-1,-1,-1,19,-1,6,15,0,3,30,4.377358490566038,53,0.3701171875,0.629882812225,3.7372239036573163,13
0,21,3,0,19,0,6,-1,-1,-1,6,4.430769230769231,65,0.625,0.37499999978,3.1750958950095054,18
0,21,3,0,19,0,6,-1,-1,-1,20,4.430769230769231,65,0.255859375,0.744140624735,3.627558671237745,18
0,21,3,0,19,0,6,-1,-1,-1,41,4.47244094488189,127,0.6708984375,0.329101562275,3.1606874380240138,18
0,26,4,2,20,0,4,-1,-1,-1,2,3.2,5,0.4794921875,0.520507812425,2.0266624866892613,8
0,26,4,2,20,0,4,-1,-1,-1,3,3.2,5,0.34765625,0.652343749925,2.348004291391549,16
0,26,4,2,20,0,4,-1,-1,-1,5,3.2,5,0.1572265625,0.842773437425,2.693008225308531,10
0,-1,-1,-1,20,-1,4,18,2,4,7,3.2,5,0.4560546875,0.543945312425,2.0820912665536255,16
0,-1,-1,-1,20,-1,4,18,2,4,11,3.2,5,0.353515625,0.646484374925,2.3393047619409515,17
0,26,4,2,20,0,4,-1,-1,-1,18,3.2,5,0.501953125,0.498046874925,1.9860451466539581,16
0,-1,-1,-1,20,-1,4,18,2,4,19,3.2,5,0.3544921875,0.645507812425,2.305754580676124,16
0,26,4,2,20,0,4,-1,-1,-1,21,3.2,5,0.6279296875,0.372070312425,1.4580041128580192,8
0,26,4,2,20,-1,4,-1,-1,-1,26,3.2,5,0.5966796875,0.403320312425,1.5858541041661878,17
0,26,4,2,20,0,4,-1,-1,-1,29,3.2,5,0.1865234375,0.813476562425,2.6242202154572745,16
0,26,4,2,20,0,4,-1,-1,-1,31,3.2,5,0.5283203125,0.471679687425,1.8856886581161634,8
0,26,4,2,20,0,4,-1,-1,-1,33,3.2,5,0.7255859375,0.274414062425,1.240985967598358,10
