id,rz,sx,x,cx,reset,measure,u1,u3,u2,measureSuccess,xSuccess,idSuccess,u1Success,resetSuccess,u3Success,u2Success,rzSuccess,cxSuccess,sxSuccess,Machine,QCAvgDegree,QCGraphDensity,QCAvgConnectivity,QCAvgNeighborDegree,QCAvgClustering,QCAvgShortestPath,CXGraphDensity,CXAvgConnectivity,CXAvgNeighborDegree,CXAvgClustering,CXAvgShortestPath,CXAverageDegree,CXAverageWeight,CXMaxWeight,CXMinWeight,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger,ESP
0,24,16,0,3,0,2,-1,-1,-1,0.9833400000000001,0.9994827978458659,0.9994827978458659,1,0.9779285576818812,1.0,1.0,1,0.9844477922233825,0.9994827978458659,2,1.6,0.4,1.0,1.8,0.0,2.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,0.955078125,0.04980468749,0.2528929232240687,0,0.0600566088265896,0.21688357312554138,0.9529860815339156
0,24,16,0,3,0,2,-1,-1,-1,0.9696,0.9995325569642196,0.9995325569642196,1,0.9527843293420855,1.0,1.0,1,0.9864368675405378,0.9995325569642196,3,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,0.9521484375,0.085937499995,0.4001546660320613,0,0.10217102850821157,0.2616979510379293,0.8748974501635711
0,24,16,0,3,0,2,-1,-1,-1,0.9625,0.9994514199849991,0.9994514199849991,1,0.9699656647493635,1.0,1.0,1,0.9661900758163682,0.9994514199849991,5,1.6,0.4,1.0,1.8,0.0,2.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,1.0,0.0947265625,0.45027757203934676,0,0.11026078262712846,0.23176432555949056,0.8804856468273402
0,-1,-1,-1,3,0,2,0,8,0,0.9650000000000001,1.0,0.9990573012609039,1,1.0,0.9981150884643618,0.9990573012609039,1,0.9840968747670711,1.0,7,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,8,2,7,2,1.9459101490553132,1.0,3,1.3195286648076292,2.6390573296152584,11,0.0,1.0,0.0859375,0.40803897390680677,0,0.10341423395345385,0.2372854695409674,0.8913337997765167
0,-1,-1,-1,3,0,2,0,8,0,0.96126,1.0,0.9995640751546299,1,1.0,0.9991278463651054,0.9995640751546299,1,0.9815511069691126,1.0,11,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,8,2,7,2,1.9459101490553132,1.0,3,1.3195286648076292,2.6390573296152584,11,0.0,1.0,0.0556640625,0.29939486796820935,0,0.0651155588991002,0.17031271227454653,0.9026992910155802
0,24,16,0,3,0,2,-1,-1,-1,0.96566,0.9994622200385616,0.9994622200385616,1,0.9313453596464274,1.0,1.0,1,0.9897706141706423,0.9994622200385616,18,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,1.0,0.0634765625,0.34360423925463557,0,0.07374178565880024,0.17315668654561478,0.9375292866390597
0,-1,-1,-1,3,0,2,0,8,0,0.943,1.0,0.9993713412888013,1,1.0,0.9987432103130336,0.9993713412888013,1,0.9888243683240975,1.0,19,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,8,2,7,2,1.9459101490553132,1.0,3,1.3195286648076292,2.6390573296152584,11,0.0,1.0,0.05859375,0.3248549972021262,0,0.06834542268329176,0.16253985537115648,0.9008045784558817
0,24,16,0,3,0,2,-1,-1,-1,0.95092,0.9984128752012417,0.9984128752012417,1,0.8730401543239175,1.0,1.0,1,0.9837930889294414,0.9984128752012417,21,1.6,0.4,1.0,1.8,0.0,2.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,1.0,0.1484375,0.5382626967920041,0,0.194808921117772,0.3437927294286431,0.7342989734771327
0,24,16,0,3,0,2,-1,-1,-1,0.9693999999999999,0.999446081610847,0.999446081610847,1,1.0,1.0,1.0,1,0.9894082219086691,0.999446081610847,26,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,1.0,0.0595703125,0.3197683981075352,0,0.07044800311277903,0.18027394258984142,0.922667499787854
0,24,16,0,3,0,2,-1,-1,-1,0.9493199999999999,0.9974291409976418,0.9974291409976418,1,0.872784961502177,1.0,1.0,1,0.9569570134793263,0.9974291409976418,29,1.6,0.4,1.0,2.2666666666666666,0.0,1.8,1.0,1.0,1.0,0.0,0,1.0,1.0,1,1,5,24,2,27,2,3.295836866004329,0.8518518518518519,3,1.9944920232821373,3.828641396489095,43,0.0,1.0,0.091796875,0.43804521607891905,0,0.10727084553483213,0.22380753635434694,0.8625476923737635
