width,depth,ESP
18,49,0.0005838657835008643
18,49,1.0
18,49,2.4389806316253325e-16
18,49,7.17806203902988e-08
18,49,3.2513752952797855e-23
18,49,6.8689285643554135e-15
18,49,1.7676390543161842e-09
18,49,2.0435147516189078e-22
18,49,1.4615058132658863e-08
18,49,2.0397604286169417e-05
18,49,1.347808259653597e-06
18,49,6.707672106515149e-07
18,49,5.584020307168084e-07
18,49,5.978418718662397e-09
18,49,1.4779401444642499e-06
18,49,0.0015474936661483867
18,49,3.359165668444235e-117
18,49,3.750811944006148e-24
18,49,3.9739396049445824e-09
18,49,2.5819873439567545e-247
18,49,1.0699131832708282e-71
15,21,0.027341102887497446
15,21,0.2741687984889252
15,21,1.0
15,21,0.021671420941528352
15,21,0.058950631299292254
15,21,0.0047397421184351045
15,21,0.00609936319147116
15,21,0.057234042062879235
15,21,0.00010837763294345331
15,21,0.09013974062592271
15,21,0.20285843783475482
15,21,0.20155938245353622
15,21,0.060191592541359494
15,21,0.04863391437262276
15,21,0.01714175571076758
15,21,0.08553064427740492
15,21,0.12572009943086704
15,21,3.202973362414531e-08
15,21,7.285017887823607e-05
15,21,0.07486776499602325
15,21,1.7895695033198398e-29
15,21,0.005108008951934621
17,8,0.008371109919537295
17,8,0.13654940469121649
17,8,1.0
17,8,0.008025679447043134
17,8,0.02933561540929015
17,8,0.000277174163348902
17,8,0.0001581697096362824
17,8,0.051819418359000266
17,8,0.00010522097770306808
17,8,0.010907755296820665
17,8,0.10931479952658661
17,8,0.04883817135045692
17,8,0.028068307411385135
17,8,0.023370094586428004
17,8,0.00525923162404564
17,8,0.03148926823001292
17,8,0.07623720186639933
17,8,1.0718640683553728e-27
17,8,5.258660612044223e-06
17,8,0.053348816247942646
17,8,3.42053177515761e-45
17,8,9.706557960132247e-31
15,51,3.3309615480092813e-10
15,51,0.0009988309036716883
15,51,1.0
15,51,3.754644509490101e-15
15,51,2.8145536174840316e-08
15,51,5.160082784464953e-26
15,51,2.099816058448347e-15
15,51,4.1098374114218026e-07
15,51,1.1253680932088477e-18
15,51,4.838914454365304e-06
15,51,3.214073976024216e-05
15,51,8.520378430166484e-06
15,51,1.2380555421158624e-06
15,51,1.3983658901956798e-06
15,51,6.390533266773226e-12
15,51,3.711542628484727e-06
15,51,0.09846311076821529
15,51,1.3071857901767393e-47
15,51,2.1507583928297267e-26
15,51,6.649904341695738e-09
15,51,2.625691504642585e-233
15,51,1.5537388892347467e-25
12,110,0.051805178086103215
12,110,0.05452698879842013
12,110,0.11724558554203729
12,110,0.1880521428834558
12,110,0.033736842344670746
12,110,0.2846482958550748
12,110,1.0
12,110,0.014397593529787941
12,110,0.0821639088412103
12,110,0.0019580003541490613
12,110,0.006585828890140299
12,110,0.04165764146532418
12,110,0.00017889971785674938
12,110,0.0795744912437399
12,110,0.18739072371670107
12,110,0.12393198526420064
12,110,0.12228286426118086
12,110,0.03796099923295311
12,110,0.009380057901098412
12,110,0.12023224415635116
12,110,0.04632187809646003
12,110,0.004017334034243952
12,110,0.00035945861970946674
12,110,0.051752635711978176
12,110,1.5192010765623077e-29
12,110,0.0015939519841782494
22,39,0.0014434810656696383
22,39,0.09389652473136936
22,39,1.0
22,39,0.0008110086620877916
22,39,0.004046034511143111
22,39,1.5816882188131373e-10
22,39,0.00036218342785268923
22,39,0.005541354418057491
22,39,2.193907557261234e-06
22,39,0.0037972667930714233
22,39,0.05503909021788569
22,39,0.006519988611983617
22,39,0.0021072775970871383
22,39,0.00550257081395219
22,39,0.0014951436128031992
22,39,0.012784453331495188
22,39,0.026780641486585818
22,39,1.326338197229648e-27
22,39,9.574906680348094e-08
22,39,0.030260168742071006
22,39,8.66903020304574e-87
22,39,1.192473205639187e-19
15,11,0.0031851526369794567
15,11,0.16825935425547903
15,11,1.0
15,11,0.014103974171154917
15,11,0.019381646818982683
15,11,3.930446110651043e-05
15,11,0.0013189528736651769
15,11,0.022734950183543306
15,11,2.228203378553159e-05
