Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,99.71,69.26,4.962,-0.34335,2.910e-2,0.0472,0.011,5351.111,2.720e-4,2.720e-4,2.720e-4,0_1:9.176e-3,0_1:277.333
Q1,175.68,53.51,4.838,-0.34621,4.800e-2,0.0562,0.0398,5351.111,2.426e-4,2.426e-4,2.426e-4,1_2:1.181e-2; 1_0:9.176e-3,1_2:469.333; 1_0:312.889
Q2,141.68,25.92,5.037,-0.34366,2.790e-2,0.0444,0.0114,5351.111,2.902e-4,2.902e-4,2.902e-4,2_3:7.778e-3; 2_1:1.181e-2,2_3:355.556; 2_1:504.889
Q3,180.77,53.8,4.951,-0.34355,2.170e-2,0.0276,0.0158,5351.111,1.993e-4,1.993e-4,1.993e-4,3_4:6.451e-3; 3_2:7.778e-3,3_4:334.222; 3_2:391.111
Q4,167.62,43.58,5.065,-0.34211,3.070e-2,0.05,0.0114,5351.111,4.658e-4,4.658e-4,4.658e-4,4_3:6.451e-3,4_3:298.667
