Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,110.56,194.09,5,-0.3369,2.129e-1,0.4106,0.0152,5976.889,2.290e-4,2.290e-4,2.290e-4,0_1:8.848e-3,0_1:689.778
Q1,201.34,186.63,4.85,-0.32557,2.220e-1,0.4292,0.0148,5976.889,2.480e-4,2.480e-4,2.480e-4,1_2:9.543e-3; 1_0:8.848e-3,1_2:476.444; 1_0:654.222
Q2,133.66,181.79,4.783,-0.34008,1.054e-1,0.108,0.1028,5976.889,4.313e-4,4.313e-4,4.313e-4,2_3:7.035e-3; 2_1:9.543e-3,2_3:519.111; 2_1:512
Q3,241.04,294.77,4.858,-0.3253,3.780e-2,0.057,0.0186,5976.889,1.574e-4,1.574e-4,1.574e-4,3_4:1.394e-2; 3_2:7.035e-3,3_4:369.778; 3_2:483.556
Q4,136.59,250.14,4.978,-0.33736,9.740e-2,0.132,0.0628,5976.889,3.317e-4,3.317e-4,3.317e-4,4_3:1.394e-2,4_3:334.222
