Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,94.8,98.31,5.09,-0.33612,1.640e-2,0.0238,0.009,5920,2.802e-4,2.802e-4,2.802e-4,0_1:1.779e-2,0_1:810.667
Q1,95.92,110.35,5.246,-0.31657,2.120e-2,0.0364,0.006,5920,1.555e-3,1.555e-3,1.555e-3,1_3:1.084e-2; 1_2:1.086e-2; 1_0:1.779e-2,1_3:440.889; 1_2:448; 1_0:775.111
Q2,51.99,46.43,5.362,-0.33063,2.430e-2,0.0396,0.009,5920,5.642e-4,5.642e-4,5.642e-4,2_1:1.086e-2,2_1:412.444
Q3,119.21,152.69,5.17,-0.33374,5.370e-2,0.085,0.0224,5920,3.341e-4,3.341e-4,3.341e-4,3_4:1.308e-2; 3_1:1.084e-2,3_4:661.333; 3_1:405.333
Q4,85.49,126.16,5.259,-0.33135,1.720e-2,0.0276,0.0068,5920,2.730e-4,2.730e-4,2.730e-4,4_3:1.308e-2,4_3:625.778
