Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,37.18,141.56,5.301,-0.33148,1.558e-1,0.2566,0.055,5351.111,1.245e-2,1.245e-2,1.245e-2,0_1:4.177e-2,0_1:234.667
Q1,136.8,153.99,5.081,-0.31925,1.960e-2,0.0282,0.011,5351.111,3.969e-4,3.969e-4,3.969e-4,1_3:1.188e-2; 1_2:7.080e-3; 1_0:4.177e-2,1_3:334.222; 1_2:298.667; 1_0:270.222
Q2,81.91,146.26,5.322,-0.33232,1.950e-2,0.0272,0.0118,5351.111,2.611e-4,2.611e-4,2.611e-4,2_1:7.080e-3,2_1:263.111
Q3,97.82,20.86,5.164,-0.33508,1.059e-1,0.0976,0.1142,5351.111,9.321e-4,9.321e-4,9.321e-4,3_4:2.219e-2; 3_1:1.188e-2,3_4:277.333; 3_1:369.778
Q4,48.28,74.74,5.052,-0.31926,2.950e-2,0.0514,0.0076,5351.111,4.358e-4,4.358e-4,4.358e-4,4_3:2.219e-2,4_3:312.889
