id,rz,sx,x,cx,reset,measure,u3,u2,u1,Machine,AvgDegree,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,26,4,2,20,0,4,-1,-1,-1,2,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4384765625,0.561523437425,2.128755292351499,8,0.5854082896486481,0.8219677709165581
0,26,4,2,20,0,4,-1,-1,-1,3,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.3369140625,0.663085937425,2.328873921682036,17,0.6931915509827898,0.9160211949771018
0,26,4,2,20,0,4,-1,-1,-1,5,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.15625,0.843749999925,2.6617953418169704,8,0.8748332273309609,1.0997310957059845
0,-1,-1,-1,20,-1,4,2,4,18,7,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.423828125,0.576171874925,2.1486838131227777,15,0.601564085317067,0.8354283329558982
0,-1,-1,-1,20,-1,4,2,4,18,11,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.3212890625,0.678710937425,2.403311854967623,15,0.7050388990896813,0.9307700989838555
0,26,4,2,20,0,4,-1,-1,-1,18,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4931640625,0.506835937425,1.9679293276244019,17,0.5302383664066472,0.7716674148454669
0,-1,-1,-1,20,-1,4,2,4,18,19,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.375,0.624999999925,2.2703831136812505,16,0.6515069951532322,0.8804750979961595
0,26,4,2,20,0,4,-1,-1,-1,21,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.623046875,0.376953124925,1.5157773718719532,10,0.4044996849314576,0.6490918073426087
0,26,4,2,20,-1,4,-1,-1,-1,26,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5859375,0.41406249993,1.5115919582020858,16,0.4587100243795944,0.6848765007678095
0,26,4,2,20,0,4,-1,-1,-1,29,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.1787109375,0.821289062425,2.6526189439241854,16,0.8507983777736333,1.0744737118236651
0,26,4,2,20,0,4,-1,-1,-1,31,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.51953125,0.480468749925,1.872077256923069,8,0.5047231750066844,0.7472709129824872
0,26,4,2,20,0,4,-1,-1,-1,33,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.7099609375,0.290039062425,1.2972059577824058,10,0.30665306502482753,0.5610741985052644
0,-1,-1,-1,20,-1,4,2,4,18,36,2.4,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.138671875,0.861328124925,2.698279817595222,8,0.8920683291729605,1.120358893882477
0,26,4,2,20,-1,4,-1,-1,-1,39,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.51953125,0.480468749925,1.7991226907387396,14,0.5144343645641222,0.7472712208030623
0,26,4,2,20,-1,4,-1,-1,-1,40,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5185546875,0.481445312425,1.875185634593809,15,0.5070306481026281,0.7481772440464294
0,26,4,2,20,0,4,-1,-1,-1,42,4.8,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.15625,0.843749999925,2.406118604305744,6,0.8950854587684631,1.0997318484306566
0,26,4,2,20,0,4,-1,-1,-1,10,3.4285714285714284,7,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.42578125,0.574218749925,2.166143460131854,13,0.5981985386873946,0.833632824365116
0,26,4,2,20,0,4,-1,-1,-1,14,3.4285714285714284,7,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5,0.499999999925,1.7474652344657289,15,0.549713615061288,0.7653570401910061
0,26,4,2,20,0,4,-1,-1,-1,17,3.4285714285714284,7,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.7607421875,0.239257812425,1.1299712725215727,15,0.2518660520473646,0.5055474606275194
0,26,4,2,20,0,4,-1,-1,-1,25,3.4285714285714284,7,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5166015625,0.483398437425,1.9293334431091478,15,0.5045341896497088,0.7499890590544326
