id,rz,sx,x,cx,reset,measure,u1,u3,u2,Machine,AvgDegree,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,26,4,2,20,0,4,-1,-1,-1,2,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4853515625,0.514648437425,2.002714990826293,10,0.5384500313576032,0.7788706849777737
0,26,4,2,20,0,4,-1,-1,-1,3,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.3779296875,0.622070312425,2.235398642087869,18,0.6507746848312757,0.8777595398804341
0,26,4,2,20,0,4,-1,-1,-1,5,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.2294921875,0.770507812425,2.5632051195841608,8,0.7996884215992272,1.020721357947458
0,-1,-1,-1,20,-1,4,18,2,4,7,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.45703125,0.542968749925,2.0795050369005663,15,0.5662917448817102,0.804922915288054
0,-1,-1,-1,20,-1,4,18,2,4,11,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.337890625,0.662109374925,2.3826335037185675,16,0.687258591306539,0.9151028567107179
0,26,4,2,20,0,4,-1,-1,-1,18,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4638671875,0.536132812425,2.0301947530920597,17,0.5614359646446814,0.7986407768899282
0,-1,-1,-1,20,-1,4,18,2,4,19,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.3955078125,0.604492187425,2.237833107294906,17,0.6291003194260616,0.8615063996915929
0,26,4,2,20,0,4,-1,-1,-1,21,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.6279296875,0.372070312425,1.4800386140326485,10,0.4021019069789078,0.6443186388789076
0,26,4,2,20,-1,4,-1,-1,-1,26,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.58203125,0.417968749925,1.586358652380246,14,0.45379168693712557,0.68859762089053
0,26,4,2,20,0,4,-1,-1,-1,29,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.2060546875,0.793945312425,2.6017834075846595,15,0.8235068478321865,1.0450424120560333
0,26,4,2,20,0,4,-1,-1,-1,31,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.49609375,0.503906249925,1.9647525951011693,8,0.5265401863685388,0.768963595657667
0,26,4,2,20,0,4,-1,-1,-1,33,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.72265625,0.277343749925,1.2371329938890745,8,0.295493676846014,0.5475440097569696
0,-1,-1,-1,20,-1,4,18,2,4,36,2.4,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.1259765625,0.874023437425,2.685441992948079,9,0.9068801267607391,1.1358318285184323
0,26,4,2,20,-1,4,-1,-1,-1,39,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.474609375,0.525390624925,1.9431402130790953,15,0.5579309332336965,0.788762066431318
0,26,4,2,20,-1,4,-1,-1,-1,40,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.470703125,0.529296874925,2.0218576574281757,16,0.5562121431896301,0.7923552217663412
