id,rz,sx,x,cx,reset,measure,u1,u2,u3,Machine,AvgDegree,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,26,4,2,20,0,4,-1,-1,-1,2,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4228515625,0.577148437425,2.1172934006984514,8,0.6046522972942571,0.8363263430172735
0,26,4,2,20,0,4,-1,-1,-1,3,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.35546875,0.644531249925,2.2836774057375133,13,0.6739045472871488,0.8986418491175149
0,26,4,2,20,0,4,-1,-1,-1,5,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.19921875,0.800781249925,2.639103173514906,10,0.8289169267594668,1.0522831021726182
0,-1,-1,-1,20,-1,4,18,4,2,7,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.40234375,0.597656249925,2.2046333145031163,16,0.622901445106042,0.8552019314572163
0,-1,-1,-1,20,-1,4,18,4,2,11,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.341796875,0.658203124925,2.358258719056798,15,0.6840205140984729,0.9114344256472512
0,26,4,2,20,0,4,-1,-1,-1,18,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.5078125,0.492187499925,1.9265520932321563,18,0.5149513236343922,0.7581321947322431
0,-1,-1,-1,20,-1,4,18,4,2,19,3.2,5,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.365234375,0.634765624925,2.2611994393518593,14,0.6644329159823589,0.8895441759364952
0,26,4,2,20,0,4,-1,-1,-1,21,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.591796875,0.408203124925,1.5864511333256532,8,0.44046974421961227,0.6792785731660186
0,26,4,2,20,-1,4,-1,-1,-1,26,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.537109375,0.462890624925,1.7608279274159373,16,0.4962167662345809,0.7309103136471199
0,26,4,2,20,0,4,-1,-1,-1,29,3.2,5,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.17578125,0.824218749925,2.6381921211769033,17,0.8553293889671841,1.0777071323490857
