id,rz,sx,x,cx,reset,measure,u1,u3,u2,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,13,2,2,10,0,4,-1,-1,-1,3.2,5,0.775390625,0.224609374935,0.9109578034994728,4
0,13,2,2,10,-1,4,-1,-1,-1,3.2,5,0.6845703125,0.31542968743,1.1855118554157404,9
0,13,2,2,10,0,4,-1,-1,-1,3.2,5,0.44140625,0.558593749925,1.935403074516784,9
0,13,2,2,10,0,4,-1,-1,-1,3.2,5,0.7109375,0.28906249993,1.2476495127182385,4
0,13,2,2,10,0,4,-1,-1,-1,3.2,5,0.8623046875,0.13769531244,0.6481798801572042,4
0,-1,-1,-1,10,-1,4,9,2,2,2.4,5,0.2421875,0.757812499925,2.381775502770064,4
0,13,2,2,10,-1,4,-1,-1,-1,3.2,5,0.69921875,0.300781249925,1.2274477012754246,8
0,13,2,2,10,-1,4,-1,-1,-1,3.2,5,0.6728515625,0.327148437425,1.3349943139476086,9
0,13,2,2,10,0,4,-1,-1,-1,4.8,5,0.4072265625,0.592773437425,1.698105443811511,4
0,13,2,2,10,0,4,-1,-1,-1,3.4285714285714284,7,0.6728515625,0.327148437425,1.429696446377725,7
0,13,2,2,10,0,4,-1,-1,-1,3.4285714285714284,7,0.681640625,0.318359374925,1.2303655411659142,9
0,13,2,2,10,0,4,-1,-1,-1,3.4285714285714284,7,0.853515625,0.146484374935,0.716890579024224,9
0,13,2,2,10,0,4,-1,-1,-1,3.4285714285714284,7,0.7265625,0.273437499925,1.2391196040735069,7
0,-1,-1,-1,10,-1,4,9,2,2,2.5714285714285716,14,0.59765625,0.402343749925,1.619089807702459,4
0,13,2,2,10,0,4,-1,-1,-1,4.0,16,0.6865234375,0.313476562425,1.30476748036018,4
0,-1,-1,-1,10,-1,4,9,2,2,2.75,16,1.0,0.0,-1.0000004999175666e-06,4
0,-1,-1,-1,10,-1,4,9,2,2,4.6,20,0.5458984375,0.45410156244,1.3814861292675986,4
0,-1,-1,-1,10,-1,4,9,2,2,4.6,20,0.7138671875,0.28613281243,1.1402141755436614,4
0,-1,-1,-1,10,-1,4,9,2,2,4.6,20,0.5478515625,0.452148437425,1.5840621821385112,4
0,-1,-1,-1,10,-1,4,9,2,2,4.6,20,0.7001953125,0.299804687435,1.169192976167249,4
0,-1,-1,-1,10,-1,4,9,2,2,4.6,20,0.5908203125,0.409179687425,1.6768395417046287,4
0,-1,-1,-1,10,-1,4,9,2,2,7.0,20,0.69921875,0.30078124993,1.2433906978629654,10
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.8203125,0.17968749994,0.8521025517093541,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.8671875,0.132812499945,0.6620934626060222,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.896484375,0.103515624935,0.5344909992547965,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.865234375,0.13476562494,0.6687080982165022,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.79296875,0.20703124994,0.8835606111346355,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.724609375,0.275390624925,1.2072404828478276,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.755859375,0.244140624925,1.1273206992167233,4
0,13,2,2,10,0,4,-1,-1,-1,4.148148148148148,27,0.3095703125,0.690429687425,2.331088500628453,4
0,-1,-1,-1,10,-1,4,9,2,2,4.285714285714286,28,0.4755859375,0.524414062425,1.8349085511051904,4
0,-1,-1,-1,10,-1,4,9,2,2,4.377358490566038,53,0.34375,0.656249999925,2.20878242487731,4
0,13,2,2,10,0,4,-1,-1,-1,4.430769230769231,65,0.79296875,0.20703124993,0.9527973581514567,4
0,13,2,2,10,0,4,-1,-1,-1,4.430769230769231,65,0.7939453125,0.20605468743,0.9534631279476754,4
0,13,2,2,10,0,4,-1,-1,-1,4.47244094488189,127,0.8681640625,0.131835937445,0.5883811451804706,4
0,-1,-1,-1,18,-1,10,0,30,36,2.5714285714285716,14,0.4013671875,0.60449218683,3.063005910821972,5
0,162,96,0,18,0,10,-1,-1,-1,4.0,16,0.6328125,0.36718749964999997,1.9193554463545033,36
0,-1,-1,-1,18,-1,10,0,30,36,2.75,16,0.9990234375,0.000976562495,0.007750032879220652,0
0,-1,-1,-1,18,-1,10,0,30,36,4.6,20,0.59375,0.40624999953499996,2.172053795206112,18
0,-1,-1,-1,18,-1,10,0,30,36,4.6,20,0.5478515625,0.45312499958999997,2.2590591024962454,13
0,-1,-1,-1,18,-1,10,0,30,36,4.6,20,0.318359375,0.6816406242549999,3.3791537216408574,13
0,-1,-1,-1,18,-1,10,0,30,36,4.6,20,0.40234375,0.597656249415,2.9490395011765593,13
0,-1,-1,-1,18,-1,10,0,30,36,4.6,20,0.4296875,0.570312499415,2.8773792740473194,12
0,-1,-1,-1,18,-1,10,0,30,36,7.0,20,0.3515625,0.64843749933,3.243174587187894,16
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.7431640625,0.256835937275,1.3810427371870013,29
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.71484375,0.285156249715,1.5267074208979259,30
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.841796875,0.158203124845,0.8998142642879913,24
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.7109375,0.28906249979,1.462522464760353,37
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.5703125,0.42968749958999997,2.166880365940754,33
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.6494140625,0.35058593717,1.8655448289071785,36
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.640625,0.36035156223,1.7989703958131462,27
0,162,96,0,18,0,10,-1,-1,-1,4.148148148148148,27,0.185546875,0.8144531239349999,4.207608430769749,34
0,-1,-1,-1,18,-1,10,0,30,36,4.285714285714286,28,0.3701171875,0.6298828117799999,3.2066403910275154,26
0,-1,-1,-1,18,-1,10,0,30,36,4.377358490566038,53,0.1025390625,0.8974609360799999,4.798185262242562,24
0,162,96,0,18,0,10,-1,-1,-1,4.430769230769231,65,0.5419921875,0.45800781203499996,2.328098765232664,0
0,162,96,0,18,0,10,-1,-1,-1,4.430769230769231,65,0.146484375,0.853515624405,3.1834868740144673,0
0,162,96,0,18,0,10,-1,-1,-1,4.47244094488189,127,0.74609375,0.25390624976,1.3532927384404023,18
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.625,0.37499999986,2.39103436082878,9
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.712890625,0.287109374865,2.1424309841408187,10
